cliente_id,data_compra,Produto,Valor_Médio,prob_180d,comprou_180d,prob_360d,comprou_360d
978306,2024-01-23,5681960666,140063.66803448275,0.9273501968113306,1,0.9492882441717788,1
978306,2024-02-02,402241338,135415.9781,0.9152782392113282,1,0.9385243778567599,1
978306,2024-02-13,1921940354,131466.88141935485,0.8995262411633856,1,0.9242646580880512,1
978306,2024-03-04,402241338,127379.70618749999,0.8958654745175483,1,0.9172962199797824,1
978306,2024-03-15,5773560162,126322.59545454546,0.8713649568647415,1,0.8926041268850691,1
978306,2024-03-26,580881532,124204.3725,0.8789058403161913,1,0.8989950698534737,1
978306,2024-03-28,5681980666,126978.25697142856,0.8957371812021125,1,0.9116715046326812,1
978306,2024-04-29,5771200670,140222.36041666666,0.9432069752420096,1,0.9556884407282757,1
978306,2024-05-07,1921940354,136853.30627027026,0.9024093646117133,1,0.922777949206549,1
978306,2024-06-17,405120354,133851.27394736843,0.8662286166042096,1,0.8829291000969519,1
978306,2024-06-20,1921940354,130830.34299999998,0.8630328739336268,1,0.8784789087673833,1
978306,2024-06-24,5771200670,136633.2591,0.907504361259857,1,0.9177791755420559,1
978306,2024-06-26,410000354,133489.1153414634,0.8835629255781253,0,0.898105749107471,0
978309,2023-02-06,1921940354,14614.704,0.5632818970211335,1,0.636945427922002,1
978309,2023-03-01,244680670,38299.9695,0.9228878029032119,1,0.9450242563944091,1
978309,2023-04-06,1921940354,30682.456999999995,0.9345133328502402,1,0.9580092037452956,1
978309,2023-05-15,580741532,25811.525999999998,0.9116232975417913,1,0.9375329492336858,1
978309,2023-05-16,5771580670,38308.7952,0.9176885389596985,1,0.9407364779655739,1
978309,2023-06-26,1921940354,34401.165499999996,0.9037654860258438,1,0.9259304445494411,1
978309,2023-06-30,580741532,31030.784571428572,0.8996307822405976,1,0.921128981920825,1
978309,2023-08-21,1921940354,28944.478875,0.923346387808454,1,0.941407967310404,1
978309,2023-08-28,1920400074,25950.795,0.9142077640965635,1,0.9322092058679923,1
978309,2023-09-08,580741532,24438.9132,0.9052903052150884,1,0.9207648192226442,1
978309,2023-10-02,1921940354,23546.462727272727,0.871917774156078,1,0.884933872549827,1
978309,2023-10-19,580741532,22541.89275,0.8472915988766616,1,0.8562089344452902,1
978309,2023-11-27,1921940354,21970.254,0.8370322448357543,1,0.8371356381868734,1
978309,2024-01-22,1921940354,22490.5005,0.9213428696259662,1,0.9473142547044253,1
978309,2024-01-26,244680158,23476.4478,0.9394284044418922,1,0.9602222498972857,1
978309,2024-04-03,5771580670,27914.089125,0.9461672166961116,1,0.9642073189856228,1
978309,2024-06-03,1921940354,28198.220470588232,0.9142908594401469,0,0.9332461066092574,0
978312,2023-01-05,410001338,1401.036,0.6057523685043062,1,0.6101663867219079,1
